CLASS,PLATE,MJD,FIBERID
20,829,52296,473
20,895,52581,40
20,833,52314,297
20,610,52056,586
20,2159,54328,169
20,514,51994,365
20,446,51899,266
20,1601,53115,516
20,287,52023,155
20,931,52619,202
20,873,52674,129
20,513,51989,587
20,2365,53739,570
20,413,51821,209
20,1818,54539,582
20,2201,53904,193
20,1024,52826,472
20,1606,53055,209
20,1679,53149,179
20,1671,53446,216
20,789,52342,221
20,551,51993,203
20,1371,52821,353
20,2877,54523,396
20,910,52377,135
20,528,52022,205
20,648,52559,288
20,1713,53827,135
20,878,52353,148
20,1920,53314,466
20,2145,54212,147
20,1341,52786,454
20,2506,54179,155
20,535,51999,272
20,1625,53140,358
20,1283,52762,275
20,509,52374,362
20,803,52318,210
20,789,52342,547
20,1866,53314,124
20,2482,54175,466
20,1574,53476,409
20,290,51941,295
20,297,51959,240
20,2026,53711,458
20,700,52199,188
20,1202,52672,184
20,1996,53436,475
20,778,54525,94
20,1269,52937,191
20,1597,52999,358
20,573,52325,527
20,1819,54540,461
20,1236,52751,202
20,2494,54174,337
20,2141,53764,330
20,530,52026,339
20,2597,54231,370
20,1845,54144,394
20,2498,54169,153
20,1790,53876,466
20,1330,52822,200
20,1685,53463,277
20,1677,53148,330
20,1269,52937,185
20,281,51614,435
20,733,52207,321
20,1393,52824,25
20,1370,53090,273
20,1420,53146,20
20,2508,53875,323
20,1690,53475,211
20,1319,52791,384
20,837,52642,229
20,681,52199,257
20,2352,53770,35
20,2357,53793,14
20,280,51612,318
20,2786,54540,612
20,584,52049,350
20,803,52318,204
20,400,51820,190
20,1032,53175,401
20,498,51984,542
20,268,51633,640
20,1046,52460,109
20,1002,52646,470
20,2199,53556,403
20,2662,54505,307
20,1735,53035,326
20,681,52199,531
20,1750,53358,604
20,1920,53314,314
20,765,52254,278
20,1370,53090,515
20,1222,52763,147
20,1381,53089,320
20,2485,54176,416
20,2481,54086,84
20,399,51817,137
20,2127,53859,286
20,701,52179,574
20,388,51793,119
20,2141,53764,456
20,975,52411,21
20,1275,52996,471
20,2749,54241,451
20,1993,53762,464
20,1395,52825,599
20,1032,53175,429
20,2783,54524,499
20,1230,52672,106
20,1810,53794,105
20,2211,53786,585
20,284,51943,626
20,598,52316,143
20,1595,52999,179
20,2784,54529,509
20,2266,53679,551
20,1512,53742,13
20,1369,53089,389
20,1977,53475,173
20,1425,52913,372
20,632,52071,473
20,2120,53852,19
20,1603,53119,513
20,854,52373,514
20,1264,52707,633
20,753,52233,157
20,1783,53386,287
20,1190,52670,141
20,1736,53052,110
20,628,52083,497
20,375,52140,229
20,2007,53474,60
20,2529,54585,497
20,2350,53765,492
20,850,52338,425
20,883,52430,432
20,2788,54553,53
20,2573,54061,276
20,1190,52670,627
20,2216,53795,293
20,664,52174,472
20,1159,52669,381
20,1593,52991,60
20,1026,52558,514
20,1295,52934,37
20,620,52375,440
20,628,52083,84
20,678,52884,455
20,2426,53795,469
20,911,52426,62
20,2496,54178,332
20,829,52296,329
20,2271,53726,581
20,842,52376,107
20,899,52620,228
20,1626,53472,416
20,2361,53762,469
20,1746,53062,430
20,275,51910,78
20,940,52670,137
20,2654,54231,65
20,2113,53468,204
20,440,51885,100
20,424,51893,427
20,934,52672,408
20,1846,54173,433
20,776,52319,555
20,710,52203,362
20,1327,52781,141
20,978,52441,63
20,2953,54560,98
20,626,52057,460
20,1031,53172,58
20,2791,54556,333
20,2570,54081,497
20,286,51999,210
20,500,51994,412
20,1317,52765,491
20,1030,52914,422
20,1368,53084,55
20,2650,54505,385
20,1739,53050,243
20,1264,52707,141
20,845,52381,610
20,1347,52823,376
20,2198,53918,430
20,744,52251,235
20,1492,52932,92
20,2587,54138,633
20,2266,53679,223
20,1168,52731,625
20,2136,53494,120
20,380,51792,206
20,2779,54540,452
20,1370,53090,529
20,632,52071,467
20,1841,53491,92
20,1021,52460,136
20,979,52427,83
20,1368,53084,415
20,979,52427,314
20,2585,54097,226
20,1187,52708,29
20,2601,54144,548
20,2482,54175,328
20,1045,52725,507
20,1838,53467,35
20,778,54525,562
20,1840,53472,483
20,2100,53713,346
20,1933,53381,599
20,2161,53878,126
20,1076,52914,267
20,1728,53228,490
20,832,52312,592
20,731,52460,532
20,621,52055,617
20,2285,53700,423
20,2113,53468,562
20,638,52081,409
20,1164,52674,412
20,2606,54154,410
20,383,51818,270
20,2111,53467,473
20,864,52320,82
